WBIC,Lake Name,County,Area (acres),Area (ha),Max Depth (ft),Max Depth (m),Latitude,Longitude,Final Lake Class,Temp Transitional,Clarity Transitional,If not then (for 2-story and stocked trout lakes)
2373300,Weirgor Springs,Sawyer,3,1.2,10,3.0,45.7267535,-91.2878117,Simple - Trout Pond,n/a,n/a,n/a
2046000,Whiplash Lake (Whipfast),Sawyer,32,12.9,26,7.9,46.0926277,-91.207858,Complex - Warm - Clear,n/a,n/a,n/a
2378200,White Birch Lake (Birch),Sawyer,87,35.2,6,1.8,45.6553897,-91.1557804,Simple - Cool - Clear,no,no,n/a
2392000,Whitefish Lake,Sawyer,786,318.1,105,32.0,45.8628698,-91.4452839,Complex - Two Story,n/a,n/a,Complex - Cool - Clear
2046400,Williams Lake (Island),Sawyer,7,2.8,12,3.7,45.953305,-91.4531559,Simple - Warm - Dark,n/a,n/a,n/a
2420000,Wilson Lake,Sawyer,109,44.1,12,3.7,46.130478,-91.1341161,Simple - Cool - Dark,no,no,n/a
2046500,Windfall Lake,Sawyer,102,41.3,16,4.9,45.6641283,-91.2109817,Complex - Warm - Clear,no,no,n/a
2046600,Windigo Lake (Bass),Sawyer,522,211.2,51,15.5,45.9306962,-91.4716341,Complex - Cool - Clear,no,no,n/a
2381100,Winter Lake (Price Flowage),Sawyer,676,273.6,22,6.7,45.8158381,-90.9850923,Complex - Cool - Dark,no,no,n/a
2114600,Wise Lake,Sawyer,4,1.6,13,4.0,45.7175001,-91.4521406,Simple - Warm - Dark,n/a,n/a,n/a
325300,Bahr Lake,Shawano,6,2.4,44,13.4,44.8309381,-88.4390419,Simple - Cool - Clear,n/a,n/a,n/a
181500,Baker Lake,Shawano,31,12.5,19,5.8,44.9735811,-89.0887469,Simple - Cool - Dark,no,no,n/a
182000,Beaulieu Lake,Shawano,27,10.9,22,6.7,44.9106082,-88.7592202,Complex - Warm - Clear,no,no,n/a
345100,Big Lake,Shawano,57,23.1,40,12.2,44.928073,-88.767595,Simple - Warm - Clear,no,yes,n/a
303600,Bowler Pond,Shawano,1,0.4,6,1.8,44.8634592,-88.9827792,Simple - Trout Pond,n/a,n/a,n/a
305500,Caroline Pond,Shawano,33,13.4,10,3.0,44.7242402,-88.8967519,Simple - Riverine,n/a,n/a,n/a
331600,Cranberry Lake,Shawano,25,10.1,9,2.7,44.987191,-89.0825401,Simple - Harsh - Has Fishery,n/a,n/a,n/a
184700,Deer Spring Lake,Shawano,18,7.3,2,0.6,44.8456078,-88.5034733,Simple - Harsh - No Fishery,n/a,n/a,n/a
184900,Dollar Lake,Shawano,2,0.8,11,3.4,45.0289607,-89.0532854,Simple - Harsh - No Fishery,n/a,n/a,n/a
299200,Grass Lake,Shawano,87,35.2,52,15.8,44.6902271,-88.6685118,Complex - Warm - Dark,no,no,n/a
421500,Gray Lake*(Grey),Shawano,11,4.5,21,6.4,44.8774544,-88.2153476,Simple - Harsh - Has Fishery,n/a,n/a,n/a
187400,Hennig Lake (Henning),Shawano,13,5.3,12,3.7,44.8905902,-89.0630636,Simple - Harsh - Has Fishery,n/a,n/a,n/a
312600,Homme Pond,Shawano,38,15.4,13,4.0,44.8434031,-89.1611744,Simple - Trout Pond,n/a,n/a,n/a
328900,Island Lake (Little),Shawano,34,13.8,32,9.8,44.9188933,-88.772672,Simple - Warm - Dark,n/a,n/a,n/a
295400,Kersten Lake,Shawano,16,6.5,4,1.2,44.7000073,-89.0097465,Simple - Harsh - Has Fishery,n/a,n/a,n/a
189400,Kolpack Lake,Shawano,22,8.9,19,5.8,44.9392388,-88.9893137,Simple - Warm - Clear,no,no,n/a
189500,Koonz Lake,Shawano,20,8.1,38,11.6,44.9127284,-88.7553403,Complex - Warm - Clear,no,no,n/a
325400,Korth Lake,Shawano,16,6.5,48,14.6,44.8270379,-88.4343996,Simple - Two Story,n/a,n/a,Simple - Warm - Clear
302000,Kroening Lake,Shawano,12,4.9,19,5.8,44.8050537,-88.8704977,Simple - Warm - Dark,n/a,n/a,n/a
301600,Leopolis Pond,Shawano,3,1.2,7,2.1,44.7696889,-88.8451528,Simple - Trout Pond,n/a,n/a,n/a
